epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8878,1.87364,2.09466,1.095,0.00921,0.53277,0.01967,0.00933,1.84419,3.18192,1.07518,0.000656863,0.000656863,0.000656863
2,72.2891,1.79828,1.50078,1.07918,0.71707,0.2714,0.33471,0.17441,1.91261,1.9513,1.10718,0.00129732,0.00129732,0.00129732
3,107.49,1.78527,1.415,1.07822,0.59817,0.367,0.40191,0.21355,1.81765,1.46284,1.07073,0.00191138,0.00191138,0.00191138
4,144.956,1.77008,1.38283,1.0799,0.57087,0.32768,0.34716,0.17523,1.89501,1.58522,1.10561,0.0018812,0.0018812,0.0018812
5,180.029,1.71652,1.25286,1.05901,0.61924,0.37278,0.42466,0.22134,1.78707,1.39841,1.04374,0.0018416,0.0018416,0.0018416
6,217.639,1.66102,1.21927,1.03949,0.61588,0.39052,0.43278,0.22242,1.77122,1.66441,1.05261,0.001802,0.001802,0.001802
7,253.064,1.65369,1.15903,1.04302,0.63998,0.37972,0.43071,0.23544,1.74337,1.28161,1.02327,0.0017624,0.0017624,0.0017624
8,290.981,1.64616,1.15465,1.03441,0.64789,0.37625,0.43005,0.22571,1.71606,1.2744,1.02668,0.0017228,0.0017228,0.0017228
9,326.797,1.67149,1.16978,1.03547,0.61286,0.3697,0.41538,0.22528,1.71742,1.32506,1.04535,0.0016832,0.0016832,0.0016832
10,363.829,1.58544,1.09306,1.01805,0.63699,0.3707,0.43744,0.23794,1.70252,1.22588,1.02588,0.0016436,0.0016436,0.0016436
11,399.752,1.60523,1.09984,1.02552,0.69942,0.36507,0.44316,0.2415,1.72925,1.3049,1.04565,0.001604,0.001604,0.001604
12,437.203,1.55874,1.06326,1.01086,0.64487,0.40478,0.46577,0.25504,1.65892,1.18428,1.01482,0.0015644,0.0015644,0.0015644
13,472.835,1.56538,1.07386,1.0138,0.68324,0.39322,0.46222,0.25596,1.65743,1.18742,1.02055,0.0015248,0.0015248,0.0015248
14,510.423,1.56524,1.06931,1.00334,0.68543,0.37934,0.45934,0.2534,1.67093,1.21541,1.00895,0.0014852,0.0014852,0.0014852
15,545.752,1.56153,1.05486,1.01352,0.68776,0.3957,0.46867,0.25406,1.69309,1.17718,1.02105,0.0014456,0.0014456,0.0014456
16,582.92,1.55167,1.05031,1.00798,0.68818,0.40941,0.47608,0.25684,1.64836,1.18635,1.00432,0.001406,0.001406,0.001406
17,618.969,1.50745,1.00704,0.97974,0.68495,0.40864,0.48207,0.2685,1.62321,1.08618,1.00179,0.0013664,0.0013664,0.0013664
18,656.873,1.52615,0.99237,0.98865,0.70938,0.40744,0.48487,0.26714,1.64321,1.10772,0.99799,0.0013268,0.0013268,0.0013268
19,693.206,1.5179,1.00525,0.99098,0.7027,0.39514,0.47433,0.26555,1.62884,1.12626,1.00884,0.0012872,0.0012872,0.0012872
20,731.367,1.50698,1.02241,0.99432,0.67712,0.41866,0.482,0.26383,1.66794,1.24403,1.01567,0.0012476,0.0012476,0.0012476
21,768.017,1.4833,0.98935,0.98223,0.66385,0.41635,0.48152,0.26767,1.62916,1.09153,1.00671,0.001208,0.001208,0.001208
22,805.772,1.46609,0.96354,0.97703,0.67803,0.42296,0.49792,0.28283,1.56729,1.0949,0.99421,0.0011684,0.0011684,0.0011684
23,843.111,1.46009,0.96353,0.97622,0.69036,0.43254,0.50623,0.2862,1.57381,1.07343,0.98468,0.0011288,0.0011288,0.0011288
